CNNF&R,CNNPoints,FoxNewsF&R,FoxNewsPoints,increase_rate
18870,0.048398887810652526,297974.0,0.10852231450137854,decrease
21621,0.0957224536123523,96857.0,0.025699961403059794,decrease
19855,0.02443074919428483,73443.0,0.045001195227382544,increase
22822,0.017777750115297215,83832.0,0.042921155949981464,increase
15006,0.019444065808020234,447069.0,0.13965325425747138,decrease
6731,0.002991473192780577,132643.0,0.03616022307227271,decrease
14867,-0.004689516891037038,266859.0,0.03453332230557282,increase
19729,0.07547545760202255,176749.0,0.071631290908557,increase
68691,0.02744365029052981,167388.0,0.09398576023576025,decrease
15360,0.07776303304623618,143692.0,0.21642342693491157,increase
11291,0.06493027559142163,112212.0,0.10410022633731997,decrease
5978,-0.025571920273325426,186858.0,0.014488897611870681,increase
15398,-0.029730494318427815,146391.0,0.046395360024527786,increase
19704,0.06286425973088582,213322.0,0.052361118427968076,decrease
31705,0.07556838406822634,150168.0,0.03336678971339818,increase
25182,0.0023502709796491095,116847.0,0.054326483735326066,increase
18641,-0.001656281716364335,88291.0,0.06401718499806074,increase
5629,-0.012860484396281166,134531.0,0.04621170771853514,decrease
23691,0.04791450603731639,82702.0,0.04508582300896877,increase
25923,-0.009015979252352365,89295.0,0.09061239455339068,decrease
16808,0.07455226977649335,203227.0,0.05060159455255824,increase
17807,0.10954400562841066,160957.0,0.09075610968883707,increase
12799,-0.07055600934732116,86207.0,0.05390673208205137,increase
1924,0.017874692874692878,157217.0,0.035428549203061516,decrease
13591,0.05358777328877026,154563.0,0.0630870987026163,increase
22381,0.054355250512146985,91084.0,0.017921446253809772,decrease
18940,0.12355039495878986,241428.0,0.05385900505448571,decrease
9812,0.030686913982878115,216865.0,0.04819378158967305,decrease
5056,0.0405854430379747,84344.0,0.07998806697481174,decrease
2465,0.06302231237322516,225897.0,0.19188459239404476,increase
20301,-0.004053521023744169,233314.0,0.40542643811637524,increase
27046,0.05715786684414206,181503.0,0.14106812417261824,decrease
83725,-0.10978674558579006,211931.0,0.11581631695205216,decrease
139667,-0.04174807345044409,105250.0,0.044871282951674876,decrease
64912,0.04848381503443355,133163.0,0.18951741528915741,increase
75346,-0.0010661004821278831,85686.0,0.15106805852693456,decrease
47808,-0.01596012533630192,83965.0,0.2996828640635585,increase
61790,0.02209856465844489,138548.0,0.19848259958853398,decrease
42889,0.0044533706375903676,98624.0,0.13341000895262545,increase
10828,-0.04108169336512521,65198.0,0.05387523506484211,increase
3738,-0.0005778085834265631,74138.0,0.08141246263565452,decrease
29224,0.014742449128570121,56462.0,0.13350710016666767,increase
35711,0.0448476184051357,131266.0,0.23181666030137843,increase
37253,0.07740567865658461,75586.0,0.12687374699552878,increase
