timestamp,open,high,low,close,adjusted_close,volume,increase_rateg
2017-10-03,23.8536,23.8557,23.71,23.73,23.73,8993,0.001264222503160604
2017-10-02,23.79,23.9399,23.7501,23.85,23.85,9872,0.0050314465408805445
2017-09-29,23.9,23.95,23.8,23.8,23.8,5398,-0.0021008403361344836
2017-09-28,23.78,23.94,23.73,23.93,23.93,25164,0.005432511491851191
2017-09-27,23.89,23.92,23.7,23.9,23.9,31946,-0.0012552301255230602
2017-09-26,23.8,23.9,23.71,23.89,23.89,34644,-0.0004185851820844709
2017-09-25,23.88,23.91,23.79,23.87,23.87,4917,-0.0008378718056137232
2017-09-22,23.88,23.88,23.79,23.845,23.845,6985,-0.0010484378276369105
2017-09-21,23.71,23.935,23.7,23.9,23.9,17976,0.0023012552301255114
2017-09-20,23.75,23.75,23.7,23.72,23.72,35258,-0.007588532883642484
2017-09-19,23.7779,23.84,23.7779,23.7964,23.7964,9541,0.0032105696659998815
2017-09-18,23.914,23.914,23.7638,23.8004,23.8004,4318,0.00016806440227900942
2017-09-15,23.9,23.95,23.8058,23.8329,23.8329,10924,0.0013636611574755428
2017-09-14,23.93,23.93,23.8545,23.91,23.91,8836,0.0032245922208281683
2017-09-13,23.9063,23.96,23.8878,23.9099,23.9099,17307,-4.182367973089262e-06
2017-09-12,23.75,23.97,23.75,23.97,23.97,17296,0.0025073007926574254
2017-09-11,23.62,23.8699,23.62,23.8076,23.8076,15514,-0.006821351165174066
2017-09-08,23.81,23.82,23.57,23.6499,23.6499,8308,-0.006668104304880865
2017-09-07,23.71,23.85,23.71,23.77,23.77,7919,0.005052587294909582
2017-09-06,23.74,23.88,23.69,23.88,23.88,6633,0.004606365159128954
2017-09-05,23.775,23.94,23.54,23.59,23.59,11511,-0.012293344637558252
2017-09-01,23.68,23.84,23.61,23.775,23.775,12508,0.00778128286014716
2017-08-31,23.79,23.8396,23.62,23.67,23.67,27834,-0.004435994930291376
2017-08-30,23.9405,23.95,23.69,23.86,23.86,9337,0.007963118189438295
2017-08-29,23.84,23.89,23.721,23.89,23.89,8891,0.0012557555462537101
2017-08-28,23.7089,23.96,23.65,23.84,23.84,21614,-0.0020973154362416407
2017-08-25,23.75,23.95,23.67,23.73,23.73,16584,-0.004635482511588683
2017-08-24,23.54,23.96,23.54,23.82,23.82,42532,0.00377833753148614
2017-08-23,23.5,23.74,23.5,23.72,23.72,17870,-0.004215851602023669
2017-08-22,23.87,23.87,23.52,23.59,23.59,17883,-0.0055108096651122936
2017-08-21,23.6154,23.7,23.54,23.65,23.65,7815,0.002536997885835041
2017-08-18,23.84,23.8499,23.561,23.6499,23.6499,4335,-4.228347688563882e-06
2017-08-17,23.7517,23.7517,23.45,23.45,23.45,2912,-0.008524520255863519
2017-08-16,23.55,23.8,23.55,23.627,23.627,10505,0.007491429296990714
2017-08-15,23.53,23.67,23.53,23.6452,23.6452,6617,0.0007697122460372599
2017-08-14,23.37,23.6318,23.37,23.53,23.53,6020,-0.004895877603059837
2017-08-11,23.67,23.67,23.3,23.44,23.44,6857,-0.0038395904436860006
2017-08-10,23.66,23.67,23.430999999999997,23.47,23.47,6712,0.001278227524499258
2017-08-09,23.5135,23.66,23.45,23.66,23.66,5958,0.008030431107354238
2017-08-08,23.7,23.75,23.62,23.62,23.62,16113,-0.0016934801016087698
2017-08-07,23.72,23.79,23.65,23.74,23.74,24282,0.005054759898904694
2017-08-04,23.77,23.8,23.67,23.8,23.8,12882,0.00252100840336144
2017-08-03,23.84,23.85,23.78,23.79,23.79,17430,-0.0004203446826398303
2017-08-02,23.8135,23.9153,23.7801,23.7801,23.7801,17357,-0.00041631448143608494
2017-08-01,23.9,23.9099,23.7983,23.88,23.88,12675,0.004183417085427056
2017-07-31,23.78,23.88,23.75,23.8618,23.8618,20429,-0.0007627253601991559
2017-07-28,23.65,23.82,23.65,23.79,23.79,11708,-0.003018074821353495
2017-07-27,23.74,23.74,23.63,23.6501,23.6501,6825,-0.0059154083915078925
2017-07-26,23.6701,23.77,23.58,23.69,23.69,15689,0.0016842549598988152
2017-07-25,23.73,23.7739,23.5401,23.65,23.65,17658,-0.0016913319238901776
2017-07-24,23.86,24.06,23.78,23.78,23.78,11532,0.005466778805719199
2017-07-21,24.08,24.1,24.03,24.1,24.1,19130,0.013278008298755199
2017-07-20,24.12,24.1399,24.07,24.12,24.12,9991,0.0008291873963515577
2017-07-19,24.01,24.21,24.01,24.070999999999998,24.070999999999998,24714,-0.0020356445515351687
2017-07-18,24.06,24.08,23.94,24.015,24.015,18005,-0.0023318759108889187
2017-07-17,24.04,24.09,24.0,24.0694,24.0694,13340,0.0022601311208422774
2017-07-14,23.85,24.05,23.85,24.03,24.03,20669,-0.0016396171452351454
2017-07-13,23.87,23.92,23.83,23.89,23.89,8682,-0.005860192549183783
